time_sec,vibration_accel_g,fbg_strain_microstrain,ir_pyrometer_temp_c,current_phase_u_a,current_phase_v_a,current_phase_w_a,state_label
0.009770,1.2306,243.36,72.84,-7.881,15.121,-7.558,Coupling Misalignment (2X Dominant)
0.010259,0.4828,236.71,72.80,-9.872,14.947,-4.841,Coupling Misalignment (2X Dominant)
0.010747,-0.6077,231.14,72.84,-12.026,14.091,-1.982,Coupling Misalignment (2X Dominant)
0.011236,-1.4378,223.83,72.80,-13.433,12.831,0.743,Coupling Misalignment (2X Dominant)
0.011724,-2.2172,223.83,72.83,-14.554,11.085,3.364,Coupling Misalignment (2X Dominant)
0.012213,-3.0524,219.66,72.73,-15.296,9.096,5.891,Coupling Misalignment (2X Dominant)
0.012702,-2.6460,219.36,72.80,-15.361,6.614,8.541,Coupling Misalignment (2X Dominant)
0.013190,-3.0475,221.48,72.86,-14.746,3.952,10.723,Coupling Misalignment (2X Dominant)
0.013679,-2.7386,223.32,72.87,-13.619,1.308,12.432,Coupling Misalignment (2X Dominant)
0.014167,-3.0273,228.11,72.81,-12.217,-1.568,13.901,Coupling Misalignment (2X Dominant)
0.014656,-2.0287,233.53,72.80,-10.360,-4.320,14.834,Coupling Misalignment (2X Dominant)
0.015144,-2.1168,238.23,72.87,-8.352,-6.896,15.248,Coupling Misalignment (2X Dominant)
0.015633,-1.6574,246.06,72.79,-5.615,-9.297,14.829,Coupling Misalignment (2X Dominant)
0.016121,-0.9407,253.85,72.86,-3.200,-11.333,14.307,Coupling Misalignment (2X Dominant)
0.016610,-0.1996,263.31,72.79,-0.305,-13.056,13.293,Coupling Misalignment (2X Dominant)
0.017098,0.4274,269.82,72.80,2.461,-14.296,11.816,Coupling Misalignment (2X Dominant)
0.017587,0.9925,277.80,72.74,5.150,-15.063,9.845,Coupling Misalignment (2X Dominant)
0.018075,1.3366,284.78,72.74,7.831,-15.339,7.549,Coupling Misalignment (2X Dominant)
0.018564,2.0562,291.80,72.85,9.897,-15.010,4.916,Coupling Misalignment (2X Dominant)
0.019052,2.8434,297.23,72.89,11.765,-14.157,2.206,Coupling Misalignment (2X Dominant)
0.019541,2.7328,302.84,72.81,13.433,-12.869,-0.625,Coupling Misalignment (2X Dominant)
0.020029,2.6966,309.13,72.79,14.467,-11.210,-3.248,Coupling Misalignment (2X Dominant)
0.020518,2.7986,310.18,72.85,15.430,-9.344,-6.076,Coupling Misalignment (2X Dominant)
0.021006,2.7936,311.53,72.82,15.235,-6.568,-8.357,Coupling Misalignment (2X Dominant)
0.021495,2.2925,308.00,72.68,14.689,-4.007,-10.593,Coupling Misalignment (2X Dominant)
0.021983,1.8586,304.48,72.85,13.688,-1.322,-12.431,Coupling Misalignment (2X Dominant)
0.022472,1.0743,303.48,72.73,12.203,1.619,-13.885,Coupling Misalignment (2X Dominant)
0.022960,0.6223,300.33,72.80,10.467,4.078,-14.881,Coupling Misalignment (2X Dominant)
0.023449,-0.4054,291.42,72.78,8.402,6.970,-15.236,Coupling Misalignment (2X Dominant)
0.023937,-1.0668,285.13,72.77,6.070,9.062,-15.118,Coupling Misalignment (2X Dominant)
0.024426,-2.6454,275.46,72.80,3.376,11.249,-14.725,Coupling Misalignment (2X Dominant)
0.024915,-3.7030,269.30,72.84,0.513,12.784,-13.421,Coupling Misalignment (2X Dominant)
0.025403,-4.4695,260.89,72.80,-2.333,14.164,-11.769,Coupling Misalignment (2X Dominant)
0.025892,-5.6361,250.44,72.87,-4.986,14.972,-9.864,Coupling Misalignment (2X Dominant)
0.026380,-6.8241,244.02,72.88,-7.608,15.184,-7.693,Coupling Misalignment (2X Dominant)
0.026869,-7.3269,236.90,72.88,-9.672,15.024,-5.104,Coupling Misalignment (2X Dominant)
0.027357,-8.0128,230.21,72.80,-11.817,14.209,-2.456,Coupling Misalignment (2X Dominant)
0.027846,-8.9311,226.20,72.78,-13.362,12.913,0.404,Coupling Misalignment (2X Dominant)
0.028334,-8.9888,223.91,72.80,-14.679,11.236,3.319,Coupling Misalignment (2X Dominant)
0.028823,-8.8982,220.16,72.86,-15.092,9.320,5.931,Coupling Misalignment (2X Dominant)
0.029311,-8.5079,221.39,72.85,-15.094,6.807,8.358,Coupling Misalignment (2X Dominant)
0.029800,-8.2998,220.17,72.67,-14.876,4.364,10.447,Coupling Misalignment (2X Dominant)
0.030288,-7.9808,223.07,72.82,-13.937,1.652,12.407,Coupling Misalignment (2X Dominant)
0.030777,-7.2360,226.76,72.68,-12.406,-1.433,13.582,Coupling Misalignment (2X Dominant)
0.031265,-5.9767,232.79,72.80,-10.834,-3.905,14.679,Coupling Misalignment (2X Dominant)
0.031754,-5.5022,236.01,72.77,-8.420,-6.429,15.219,Coupling Misalignment (2X Dominant)
0.032242,-3.9266,244.26,72.76,-6.130,-9.002,15.178,Coupling Misalignment (2X Dominant)
0.032731,-2.1313,250.16,72.84,-3.462,-11.054,14.604,Coupling Misalignment (2X Dominant)
0.033219,-0.9376,261.39,72.77,-0.765,-12.721,13.507,Coupling Misalignment (2X Dominant)
0.033708,0.2943,266.29,72.80,2.177,-14.130,11.943,Coupling Misalignment (2X Dominant)
0.034196,1.6366,276.13,72.75,5.105,-14.884,10.097,Coupling Misalignment (2X Dominant)
0.034685,3.4258,285.32,72.80,7.492,-15.330,7.689,Coupling Misalignment (2X Dominant)
0.035173,4.5676,289.17,72.85,9.632,-14.967,5.178,Coupling Misalignment (2X Dominant)
0.035662,5.6819,297.62,72.76,11.808,-14.206,2.568,Coupling Misalignment (2X Dominant)
0.036150,6.8233,300.96,72.83,13.243,-12.998,-0.208,Coupling Misalignment (2X Dominant)
0.036639,7.6280,308.94,72.80,14.544,-11.295,-3.187,Coupling Misalignment (2X Dominant)
0.037128,8.2632,306.51,72.80,15.131,-9.445,-5.637,Coupling Misalignment (2X Dominant)
0.037616,8.4211,308.12,72.78,14.891,-7.070,-8.091,Coupling Misalignment (2X Dominant)
0.038105,8.7036,308.26,72.84,14.707,-4.240,-10.385,Coupling Misalignment (2X Dominant)
0.038593,9.0631,306.48,72.83,14.022,-1.707,-11.999,Coupling Misalignment (2X Dominant)
0.039082,8.8175,305.16,72.79,12.592,1.123,-13.749,Coupling Misalignment (2X Dominant)
0.039570,8.3740,302.12,72.81,10.699,3.854,-14.698,Coupling Misalignment (2X Dominant)
0.040059,7.5900,295.61,72.84,8.597,6.406,-15.188,Coupling Misalignment (2X Dominant)
0.040547,7.1115,287.79,72.83,6.036,9.058,-15.129,Coupling Misalignment (2X Dominant)
0.041036,6.0047,280.06,72.78,3.573,10.949,-14.617,Coupling Misalignment (2X Dominant)
0.041524,5.3602,271.36,72.86,1.037,12.624,-13.693,Coupling Misalignment (2X Dominant)
0.042013,3.9061,264.35,72.84,-1.897,13.995,-12.118,Coupling Misalignment (2X Dominant)
0.042501,2.8757,255.47,72.91,-4.485,14.669,-10.175,Coupling Misalignment (2X Dominant)
0.042990,1.8807,248.09,72.72,-7.183,15.130,-7.801,Coupling Misalignment (2X Dominant)
0.043478,1.0500,239.69,72.84,-9.490,14.911,-5.195,Coupling Misalignment (2X Dominant)
0.043967,-0.0855,232.67,72.86,-11.392,14.374,-2.589,Coupling Misalignment (2X Dominant)
0.044455,-0.9298,228.70,72.85,-13.157,13.065,-0.015,Coupling Misalignment (2X Dominant)
0.044944,-1.7495,224.45,72.79,-14.372,11.597,2.775,Coupling Misalignment (2X Dominant)
0.045432,-2.2068,220.86,72.73,-14.923,9.636,5.515,Coupling Misalignment (2X Dominant)
0.045921,-2.7048,219.23,72.88,-15.046,7.240,8.209,Coupling Misalignment (2X Dominant)
0.046409,-3.1107,220.90,72.78,-14.891,4.564,10.241,Coupling Misalignment (2X Dominant)
0.046898,-3.0225,222.34,72.79,-14.064,1.868,12.006,Coupling Misalignment (2X Dominant)
0.047386,-2.9472,227.06,72.90,-12.654,-1.093,13.558,Coupling Misalignment (2X Dominant)
0.047875,-2.2823,230.82,72.74,-10.833,-3.716,14.694,Coupling Misalignment (2X Dominant)
0.048363,-2.5108,233.27,72.84,-8.714,-6.426,15.203,Coupling Misalignment (2X Dominant)
0.048852,-2.0752,241.04,72.76,-6.517,-8.693,15.117,Coupling Misalignment (2X Dominant)
0.049340,-1.2778,246.98,72.76,-3.549,-10.631,14.697,Coupling Misalignment (2X Dominant)
0.049829,-0.8944,254.31,72.81,-1.043,-12.597,13.398,Coupling Misalignment (2X Dominant)
0.050318,-0.2396,267.33,72.83,1.789,-14.176,12.172,Coupling Misalignment (2X Dominant)
0.050806,0.3597,274.66,72.85,4.458,-14.871,10.372,Coupling Misalignment (2X Dominant)
0.051295,1.1334,280.06,72.85,7.397,-15.178,7.980,Coupling Misalignment (2X Dominant)
0.051783,1.7178,289.71,72.76,9.490,-15.024,5.484,Coupling Misalignment (2X Dominant)
0.052272,2.1002,296.51,72.74,11.398,-14.439,2.696,Coupling Misalignment (2X Dominant)
0.052760,2.6799,298.17,72.78,13.199,-13.189,0.260,Coupling Misalignment (2X Dominant)
0.053249,2.4927,305.94,72.82,14.376,-11.739,-2.756,Coupling Misalignment (2X Dominant)
0.053737,3.1467,307.44,72.79,14.982,-9.717,-5.354,Coupling Misalignment (2X Dominant)
0.054226,2.8552,310.17,72.62,15.280,-7.241,-7.831,Coupling Misalignment (2X Dominant)
0.054714,2.6339,313.51,72.71,14.795,-4.842,-9.985,Coupling Misalignment (2X Dominant)
0.055203,2.4151,310.48,72.79,14.006,-1.962,-12.055,Coupling Misalignment (2X Dominant)
0.055691,1.7942,305.66,72.84,12.557,0.640,-13.589,Coupling Misalignment (2X Dominant)
0.056180,0.8701,303.39,72.75,10.896,3.721,-14.555,Coupling Misalignment (2X Dominant)
0.056668,0.2360,294.02,72.84,9.108,6.113,-14.989,Coupling Misalignment (2X Dominant)
0.057157,-0.4972,290.54,72.73,6.687,8.606,-15.168,Coupling Misalignment (2X Dominant)
0.057645,-2.0356,283.33,72.81,3.905,10.807,-14.768,Coupling Misalignment (2X Dominant)
0.058134,-2.7504,275.72,72.81,1.308,12.499,-13.851,Coupling Misalignment (2X Dominant)
0.058622,-4.1994,266.12,72.82,-1.669,13.926,-12.381,Coupling Misalignment (2X Dominant)
0.059111,-4.7895,258.98,72.75,-4.416,14.856,-10.320,Coupling Misalignment (2X Dominant)
0.059599,-6.1520,251.55,72.72,-6.977,15.280,-8.233,Coupling Misalignment (2X Dominant)
0.060088,-7.0477,240.23,72.84,-9.349,15.135,-5.780,Coupling Misalignment (2X Dominant)
0.060576,-7.4273,235.86,72.72,-11.397,14.401,-3.115,Coupling Misalignment (2X Dominant)
0.061065,-8.1156,229.34,72.76,-12.915,13.279,-0.256,Coupling Misalignment (2X Dominant)
0.061553,-8.8180,226.55,72.87,-14.228,11.954,2.499,Coupling Misalignment (2X Dominant)
0.062042,-8.8798,224.06,72.81,-14.903,9.844,5.198,Coupling Misalignment (2X Dominant)
0.062531,-9.0586,219.74,72.82,-15.096,7.356,7.886,Coupling Misalignment (2X Dominant)
0.063019,-9.0285,218.72,72.83,-14.871,4.906,10.168,Coupling Misalignment (2X Dominant)
0.063508,-8.2475,221.23,72.83,-14.214,2.144,11.778,Coupling Misalignment (2X Dominant)
0.063996,-7.7213,222.22,72.80,-12.981,-0.628,13.493,Coupling Misalignment (2X Dominant)
0.064485,-7.0064,227.24,72.75,-11.126,-3.508,14.448,Coupling Misalignment (2X Dominant)
0.064973,-5.5457,232.27,72.93,-9.076,-6.083,15.075,Coupling Misalignment (2X Dominant)
0.065462,-4.8256,239.59,72.79,-6.661,-8.312,15.194,Coupling Misalignment (2X Dominant)
0.065950,-3.3280,246.38,72.82,-4.058,-10.600,14.693,Coupling Misalignment (2X Dominant)
0.066439,-1.7651,253.93,72.82,-1.046,-12.712,13.790,Coupling Misalignment (2X Dominant)
0.066927,-0.6037,263.82,72.77,1.358,-13.724,12.422,Coupling Misalignment (2X Dominant)
0.067416,0.7440,270.40,72.78,4.037,-14.651,10.554,Coupling Misalignment (2X Dominant)
0.067904,2.3699,277.62,72.87,6.870,-15.211,8.273,Coupling Misalignment (2X Dominant)
0.068393,3.7594,285.38,72.76,9.170,-15.006,5.807,Coupling Misalignment (2X Dominant)
0.068881,5.1040,291.74,72.82,11.298,-14.555,3.059,Coupling Misalignment (2X Dominant)
0.069370,6.4330,297.43,72.84,13.003,-13.419,0.342,Coupling Misalignment (2X Dominant)
0.069858,6.9382,301.86,72.79,14.313,-11.673,-2.166,Coupling Misalignment (2X Dominant)
0.070347,7.8568,308.47,72.80,14.794,-9.900,-5.151,Coupling Misalignment (2X Dominant)
0.070835,8.1506,308.43,72.85,15.144,-7.777,-7.729,Coupling Misalignment (2X Dominant)
0.071324,8.9115,310.38,72.79,14.984,-5.056,-9.859,Coupling Misalignment (2X Dominant)
0.071812,8.9702,308.84,72.70,14.253,-2.347,-11.848,Coupling Misalignment (2X Dominant)
0.072301,8.8358,306.89,72.88,13.152,0.571,-13.403,Coupling Misalignment (2X Dominant)
0.072789,8.4767,304.64,72.75,11.347,3.227,-14.336,Coupling Misalignment (2X Dominant)
0.073278,8.0641,298.52,72.81,9.183,5.849,-15.025,Coupling Misalignment (2X Dominant)
0.073766,7.5391,291.14,72.73,6.727,8.462,-15.227,Coupling Misalignment (2X Dominant)
0.074255,6.5063,284.60,72.77,4.157,10.553,-14.797,Coupling Misalignment (2X Dominant)
0.074744,5.7243,278.66,72.78,1.408,12.293,-13.886,Coupling Misalignment (2X Dominant)
0.075232,4.7862,270.14,72.81,-1.262,13.893,-12.362,Coupling Misalignment (2X Dominant)
0.075721,3.4173,262.45,72.76,-4.053,14.739,-10.672,Coupling Misalignment (2X Dominant)
0.076209,2.4381,252.96,72.90,-6.823,15.165,-8.653,Coupling Misalignment (2X Dominant)
0.076698,1.4552,243.86,72.80,-9.121,15.115,-6.025,Coupling Misalignment (2X Dominant)
0.077186,0.8891,239.09,72.84,-11.069,14.412,-3.516,Coupling Misalignment (2X Dominant)
0.077675,-0.5217,232.61,72.80,-12.823,13.396,-0.372,Coupling Misalignment (2X Dominant)
0.078163,-1.1894,227.57,72.85,-14.068,11.925,2.104,Coupling Misalignment (2X Dominant)
0.078652,-2.0774,221.75,72.69,-14.876,9.977,4.901,Coupling Misalignment (2X Dominant)
0.079140,-2.5659,220.21,72.76,-15.037,7.858,7.494,Coupling Misalignment (2X Dominant)
0.079629,-3.0781,218.89,72.77,-14.946,5.225,9.738,Coupling Misalignment (2X Dominant)
0.080117,-2.8668,221.03,72.77,-14.273,2.586,11.705,Coupling Misalignment (2X Dominant)
0.080606,-3.3085,223.10,72.83,-13.109,-0.287,13.347,Coupling Misalignment (2X Dominant)
0.081094,-2.7423,225.96,72.83,-11.335,-2.960,14.579,Coupling Misalignment (2X Dominant)
0.081583,-2.5603,231.91,72.80,-9.563,-5.701,15.136,Coupling Misalignment (2X Dominant)
0.082071,-2.2666,238.42,72.80,-6.980,-8.219,15.330,Coupling Misalignment (2X Dominant)
0.082560,-1.5508,243.89,72.92,-4.390,-10.424,14.688,Coupling Misalignment (2X Dominant)
0.083048,-0.5215,251.81,72.82,-1.766,-12.368,13.934,Coupling Misalignment (2X Dominant)
0.083537,-0.3953,258.37,72.69,1.072,-13.657,12.558,Coupling Misalignment (2X Dominant)
0.084025,-0.0401,266.37,72.84,4.002,-14.683,10.793,Coupling Misalignment (2X Dominant)
0.084514,1.1476,276.59,72.83,6.567,-15.203,8.747,Coupling Misalignment (2X Dominant)
0.085002,1.5124,282.12,72.86,8.956,-15.005,6.148,Coupling Misalignment (2X Dominant)
0.085491,2.4519,291.19,72.83,11.075,-14.691,3.481,Coupling Misalignment (2X Dominant)
0.085979,2.3843,298.76,72.75,12.780,-13.567,0.807,Coupling Misalignment (2X Dominant)
0.086468,3.0747,302.76,72.84,14.188,-11.922,-2.217,Coupling Misalignment (2X Dominant)
0.086957,3.0083,305.93,72.80,14.894,-10.088,-4.787,Coupling Misalignment (2X Dominant)
0.087445,3.5723,307.10,72.85,15.051,-7.876,-7.339,Coupling Misalignment (2X Dominant)
0.087934,2.8509,310.12,72.88,15.160,-5.332,-9.733,Coupling Misalignment (2X Dominant)
0.088422,3.2047,310.86,72.79,14.328,-2.643,-11.524,Coupling Misalignment (2X Dominant)
0.088911,2.2238,307.66,72.84,13.042,-0.027,-13.332,Coupling Misalignment (2X Dominant)
0.089399,1.6806,305.90,72.85,11.343,2.871,-14.387,Coupling Misalignment (2X Dominant)
0.089888,1.0861,300.59,72.81,9.487,5.750,-15.007,Coupling Misalignment (2X Dominant)
0.090376,-0.2963,294.81,72.90,7.095,8.017,-15.054,Coupling Misalignment (2X Dominant)
0.090865,-0.9235,287.40,72.85,4.683,10.272,-14.831,Coupling Misalignment (2X Dominant)
0.091353,-2.2186,278.59,72.77,1.757,12.122,-13.874,Coupling Misalignment (2X Dominant)
0.091842,-3.2038,271.87,72.81,-1.086,13.627,-12.564,Coupling Misalignment (2X Dominant)
0.092330,-4.2882,263.67,72.84,-3.673,14.577,-10.860,Coupling Misalignment (2X Dominant)
0.092819,-5.2226,256.70,72.90,-6.304,15.188,-8.852,Coupling Misalignment (2X Dominant)
0.093307,-6.1896,248.12,72.83,-8.796,15.151,-6.462,Coupling Misalignment (2X Dominant)
0.093796,-7.2623,242.13,72.81,-10.864,14.689,-3.669,Coupling Misalignment (2X Dominant)
0.094284,-7.8362,234.67,72.86,-12.685,13.493,-0.971,Coupling Misalignment (2X Dominant)
0.094773,-8.8774,228.25,72.79,-13.978,12.090,1.969,Coupling Misalignment (2X Dominant)
0.095261,-8.5750,223.60,72.75,-14.731,10.218,4.682,Coupling Misalignment (2X Dominant)
0.095750,-8.5930,220.93,72.84,-15.130,8.056,7.164,Coupling Misalignment (2X Dominant)
0.096238,-8.8381,220.37,72.78,-15.040,5.430,9.398,Coupling Misalignment (2X Dominant)
0.096727,-8.9231,219.75,72.94,-14.210,2.913,11.575,Coupling Misalignment (2X Dominant)
0.097215,-7.9627,220.42,72.81,-13.419,0.158,13.042,Coupling Misalignment (2X Dominant)
0.097704,-7.5660,225.88,72.84,-11.369,-2.844,14.244,Coupling Misalignment (2X Dominant)
0.098192,-6.4867,229.16,72.77,-9.745,-5.486,14.913,Coupling Misalignment (2X Dominant)
0.098681,-5.3254,234.81,72.86,-7.313,-7.997,15.181,Coupling Misalignment (2X Dominant)
0.099170,-4.1484,240.02,72.80,-4.686,-9.920,14.981,Coupling Misalignment (2X Dominant)
0.099658,-2.7238,247.08,72.79,-1.969,-12.120,14.031,Coupling Misalignment (2X Dominant)
0.100147,-1.5147,256.02,72.79,0.940,-13.395,12.679,Coupling Misalignment (2X Dominant)
0.100635,-0.0720,261.96,72.74,3.499,-14.717,10.833,Coupling Misalignment (2X Dominant)
0.101124,1.4808,273.52,72.79,6.274,-15.223,8.932,Coupling Misalignment (2X Dominant)
0.101612,2.7236,279.69,72.83,8.622,-15.215,6.389,Coupling Misalignment (2X Dominant)
0.102101,3.9318,287.63,72.72,10.847,-14.741,3.850,Coupling Misalignment (2X Dominant)
0.102589,5.3833,295.13,72.85,12.584,-13.697,1.045,Coupling Misalignment (2X Dominant)
0.103078,6.1509,300.01,72.79,13.946,-12.293,-1.631,Coupling Misalignment (2X Dominant)
0.103566,7.2772,303.37,72.81,14.757,-10.443,-4.467,Coupling Misalignment (2X Dominant)
0.104055,7.7454,309.75,72.69,15.135,-8.033,-7.044,Coupling Misalignment (2X Dominant)
0.104543,8.4320,307.83,72.81,15.076,-5.539,-9.337,Coupling Misalignment (2X Dominant)
0.105032,8.7468,307.23,72.75,14.493,-2.887,-11.206,Coupling Misalignment (2X Dominant)
0.105520,8.7404,309.70,72.78,13.204,-0.150,-12.972,Coupling Misalignment (2X Dominant)
0.106009,9.0297,304.19,72.72,11.593,2.594,-14.273,Coupling Misalignment (2X Dominant)
0.106497,8.6799,303.36,72.76,9.762,5.234,-14.984,Coupling Misalignment (2X Dominant)
0.106986,8.2160,297.00,72.79,7.390,7.709,-15.251,Coupling Misalignment (2X Dominant)
0.107474,7.2244,290.52,72.79,4.920,10.097,-14.993,Coupling Misalignment (2X Dominant)
0.107963,6.3422,282.30,72.84,2.025,11.860,-14.149,Coupling Misalignment (2X Dominant)
0.108451,5.6448,274.18,72.71,-0.854,13.389,-12.890,Coupling Misalignment (2X Dominant)
0.108940,4.4862,266.58,72.80,-3.499,14.659,-11.033,Coupling Misalignment (2X Dominant)
0.109428,3.4179,257.77,72.80,-6.175,15.297,-9.116,Coupling Misalignment (2X Dominant)
0.109917,1.8087,252.26,72.78,-8.553,15.198,-6.481,Coupling Misalignment (2X Dominant)
0.110405,1.4193,242.39,72.75,-10.766,14.809,-3.921,Coupling Misalignment (2X Dominant)
0.110894,0.4028,237.08,72.86,-12.424,13.716,-1.241,Coupling Misalignment (2X Dominant)
0.111383,-0.6234,231.82,72.90,-13.900,12.185,1.553,Coupling Misalignment (2X Dominant)
0.111871,-1.2434,224.85,72.71,-14.760,10.541,4.239,Coupling Misalignment (2X Dominant)
0.112360,-1.9328,222.96,72.75,-15.163,8.343,6.920,Coupling Misalignment (2X Dominant)
0.112848,-2.6848,219.45,72.75,-15.050,5.819,9.366,Coupling Misalignment (2X Dominant)
0.113337,-2.9171,219.81,72.79,-14.453,3.118,11.238,Coupling Misalignment (2X Dominant)
0.113825,-3.2333,220.47,72.86,-13.291,0.462,12.824,Coupling Misalignment (2X Dominant)
0.114314,-2.7309,222.66,72.83,-11.863,-2.522,14.277,Coupling Misalignment (2X Dominant)
0.114802,-2.6603,227.53,72.79,-9.686,-5.208,14.989,Coupling Misalignment (2X Dominant)
0.115291,-2.7057,231.00,72.80,-7.560,-7.765,15.088,Coupling Misalignment (2X Dominant)
0.115779,-1.9801,239.77,72.78,-5.122,-9.930,14.856,Coupling Misalignment (2X Dominant)
0.116268,-1.5065,244.43,72.84,-2.259,-11.985,14.068,Coupling Misalignment (2X Dominant)
0.116756,-1.0827,251.92,72.84,0.428,-13.481,12.827,Coupling Misalignment (2X Dominant)
0.117245,-0.2587,261.25,72.83,3.353,-14.566,11.177,Coupling Misalignment (2X Dominant)
0.117733,0.5636,269.32,72.69,6.169,-15.114,9.113,Coupling Misalignment (2X Dominant)
0.118222,1.2367,278.26,72.80,8.331,-15.319,6.696,Coupling Misalignment (2X Dominant)
0.118710,2.1217,285.57,72.79,10.619,-14.731,4.077,Coupling Misalignment (2X Dominant)
0.119199,2.2010,290.46,72.85,12.229,-13.685,1.383,Coupling Misalignment (2X Dominant)
0.119687,2.5548,299.63,72.81,13.849,-12.400,-1.373,Coupling Misalignment (2X Dominant)
0.120176,3.0054,303.03,72.83,14.647,-10.443,-4.170,Coupling Misalignment (2X Dominant)
0.120664,2.9991,307.29,72.78,15.107,-8.289,-6.631,Coupling Misalignment (2X Dominant)
0.121153,2.9007,311.88,72.85,14.980,-5.885,-9.076,Coupling Misalignment (2X Dominant)
0.121641,2.6466,311.54,72.86,14.573,-3.294,-11.358,Coupling Misalignment (2X Dominant)
0.122130,1.7916,309.51,72.72,13.521,-0.526,-12.839,Coupling Misalignment (2X Dominant)
0.122618,2.1060,305.39,72.74,11.888,2.339,-14.088,Coupling Misalignment (2X Dominant)
0.123107,0.9615,301.79,72.84,9.863,4.937,-14.970,Coupling Misalignment (2X Dominant)
0.123596,0.3085,299.91,72.79,7.836,7.334,-15.349,Coupling Misalignment (2X Dominant)
0.124084,-0.3737,292.01,72.85,5.070,9.863,-14.958,Coupling Misalignment (2X Dominant)
0.124573,-1.4982,285.35,72.81,2.223,11.661,-14.213,Coupling Misalignment (2X Dominant)
0.125061,-2.0600,276.55,72.83,-0.304,13.239,-13.097,Coupling Misalignment (2X Dominant)
0.125550,-3.8685,270.40,72.76,-3.237,14.445,-11.464,Coupling Misalignment (2X Dominant)
0.126038,-4.1815,263.02,72.82,-5.699,15.058,-9.278,Coupling Misalignment (2X Dominant)
0.126527,-5.3663,255.37,72.82,-8.311,15.038,-6.930,Coupling Misalignment (2X Dominant)
0.127015,-6.3896,245.28,72.77,-10.408,14.795,-4.352,Coupling Misalignment (2X Dominant)
0.127504,-7.0958,239.50,72.85,-12.169,13.974,-1.576,Coupling Misalignment (2X Dominant)
0.127992,-7.9686,232.41,72.71,-13.855,12.394,1.117,Coupling Misalignment (2X Dominant)
0.128481,-8.8839,228.45,72.81,-14.751,10.841,3.937,Coupling Misalignment (2X Dominant)
0.128969,-8.7414,223.52,72.74,-15.165,8.402,6.653,Coupling Misalignment (2X Dominant)
0.129458,-9.2340,220.05,72.75,-14.955,6.324,8.961,Coupling Misalignment (2X Dominant)
0.129946,-8.9206,221.61,72.85,-14.614,3.420,10.920,Coupling Misalignment (2X Dominant)
0.130435,-8.4888,220.63,72.75,-13.555,0.706,12.757,Coupling Misalignment (2X Dominant)
0.130923,-8.0995,222.05,72.74,-11.939,-2.290,13.981,Coupling Misalignment (2X Dominant)
0.131412,-6.9688,226.08,72.83,-10.130,-4.828,14.921,Coupling Misalignment (2X Dominant)
0.131900,-6.2555,229.67,72.74,-7.803,-7.357,15.230,Coupling Misalignment (2X Dominant)
0.132389,-5.0227,236.90,72.85,-5.454,-9.697,14.821,Coupling Misalignment (2X Dominant)
0.132877,-3.8633,242.96,72.83,-2.378,-11.726,14.345,Coupling Misalignment (2X Dominant)
0.133366,-2.4904,249.77,72.76,0.052,-13.351,12.958,Coupling Misalignment (2X Dominant)
0.133854,-1.2802,261.57,72.85,2.935,-14.281,11.583,Coupling Misalignment (2X Dominant)
0.134343,0.1046,265.72,72.70,5.643,-15.042,9.393,Coupling Misalignment (2X Dominant)
0.134831,1.7418,275.50,72.82,8.327,-15.033,6.927,Coupling Misalignment (2X Dominant)
